Letter	Polish	
a	8.965
b	1.482
c	3.988
d	3.293
e	7.921
f	0.312
g	1.377
h	1.072
i	8.286
j	2.343
k	3.411
l	2.136
m	2.911
n	5.600
o	7.590
p	3.101
q	0.003
r	4.571
s	4.263
t	3.966
u	2.347
v	0.034
w	4.549
x	0.019
y	3.857
z	5.620
à	0
â	0
á	0
å	0
ä	0
ã	0
ą	1.021
æ	0
œ	0
ç	0
ĉ	0
ć	0.448
č	0
ď	0
ð	0
è	0
é	0
ê	0
ë	0
ę	1.131
ě	0
ĝ	0
ğ	0
ĥ	0
î	0
ì	0
í	0
ï	0
ı	0
ĵ	0
ł	1.746
ľ	0
ñ	0
ń	0.185
ň	0
ò	0
ö	0
ô	0
ó	0.823
ő	0
õ	0
ø	0
ř	0
ŝ	0
ş	0
ś	0.683
š	0
ß	0
ť	0
þ	0
ù	0
ú	0
û	0
ŭ	0
ü	0
ű	0
ů	0
ý	0
ź	0.061
ż	0.885
ž	0
